ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
371	0,0,1	77,56,114	0,0,0	91,48,97	110	99
374	689,526,936	7,2,5	757,435,849	8,5,10	120	99
375	25,21,41	9,7,12	7,3,5	53,30,39	127	99
376	3,4,1	97,76,118	1,2,4	122,45,123	102	99
377	4,4,4	179,134,254	0,1,1	234,145,265	158	99
379	3,2,1	0,0,0	2,0,0	0,0,1	104	99
380	0,0,0	71,59,65	0,1,0	46,31,48	102	99
381	1,0,4	24,12,47	1,0,0	34,9,34	102	99
387	11481,9009,12763	23431,19177,26688	19625,13892,24848	23485,16473,28486	109	99
388	3,1,6	1,0,2	6,2,2	13,5,17	100	99
389	43,31,54	0,3,0	30,2,32	1,2,4	104	99
390	1,1,1	0,0,0	2,2,3	0,0,1	104	99
391	1,0,1	72,43,77	0,0,0	54,38,95	164	99
392	0,0,0	613,459,735	1,0,1	714,599,893	103	99
393	234,129,268	3,1,4	252,167,319	0,0,0	122	99
394	843,649,849	0,1,0	501,293,565	0,0,0	198	99
395	1496,1063,1583	19,17,18	984,598,1134	16,5,12	103	99
396	31,25,49	11,9,24	48,19,43	16,5,12	113	99
398	0,0,2	164,158,224	6,2,3	263,108,245	129	99
399	78,72,91	0,0,1	117,84,132	0,0,0	198	99
400	11,9,7	1,0,3	21,7,12	6,5,9	156	99
401	58,76,145	1,0,0	149,54,104	0,0,0	100	99
405	1,0,1	69,62,133	8,2,3	157,57,181	102	99
406	5,3,7	11,9,18	2,1,5	35,9,28	198	99
407	212,152,286	3,4,5	256,182,286	3,2,0	125	99
408	36,53,76	66,60,74	56,33,56	113,58,136	102	99
409	3,2,2	505,326,535	1,1,1	558,355,687	102	99
411	69,65,110	7,5,10	62,25,65	90,52,98	125	99
413	42,40,74	0,1,0	58,32,55	1,0,0	198	99
414	10,18,11	21,16,29	34,15,35	18,7,25	117	99
415	3,3,2	21,16,29	11,2,9	18,7,25	126	99
416	0,0,0	7,15,9	4,2,3	27,15,29	107	99
418	134,96,202	2,0,0	163,97,209	1,0,0	110	99
420	3,4,4	13,8,16	5,2,9	10,2,17	102	99
421	0,0,1	436,338,552	0,0,0	492,254,559	101	99
425	0,0,1	50,33,67	0,0,0	49,32,53	170	99
426	206,162,328	3,1,1	306,158,355	2,0,1	197	99
427	71,42,51	2,1,2	33,29,45	0,0,1	116	99
428	212,182,283	1,1,0	215,152,247	4,2,1	101	99
430	70,49,104	4,9,14	109,59,93	2,0,1	149	99
431	4,2,1	0,0,0	0,2,3	0,0,4	105	99
434	58,37,60	124,97,128	63,43,79	79,71,124	121	99
440	11,14,16	3737,3250,4519	12,7,31	4299,2797,5693	101	99
442	0,0,1	1212,1311,1881	1,0,0	2177,1125,2402	138	99
443	94,73,101	2349,1993,2964	95,58,106	3279,1776,3608	116	99
445	0,0,2	57,60,84	0,0,1	69,46,81	116	99
447	0,3,0	427,368,673	0,2,0	508,286,442	119	99
451	46,53,72	0,1,0	76,44,85	0,0,1	101	99
452	116,86,194	0,0,0	171,105,220	0,0,1	184	99
454	2,0,1	45,27,57	0,0,3	47,32,62	101	99
456	19,12,15	0,2,1	12,8,22	5,0,8	126	99
457	1,2,2	82,63,90	1,0,0	93,54,115	143	99
458	2,1,1	130,85,176	4,2,3	145,82,191	102	99
459	2,2,2	13,18,17	1,0,0	31,6,31	112	99
460	187,160,282	1,0,0	301,135,308	0,0,0	158	99
462	0,3,3	1,0,0	0,1,0	7,3,3	198	99
464	290,260,405	4,5,9	408,219,482	0,0,0	198	99
466	0,2,0	15,17,32	0,0,0	36,11,33	110	99
467	1206,861,1515	0,0,0	1307,794,1470	3,0,0	101	99
468	2,5,8	0,0,1	5,0,3	0,0,0	105	99
469	6,8,9	32,22,39	14,4,11	32,18,34	198	99
471	13,8,14	47,38,50	9,4,5	63,44,93	103	99
473	69,47,61	6,5,7	101,88,162	15,9,21	180	99
474	72,50,63	7,0,3	103,90,163	0,4,3	195	99
475	9,8,9	7,0,3	17,11,22	0,4,3	113	99
477	0,0,1	457,299,488	6,5,7	560,344,666	103	99
478	1,1,0	55,42,46	0,0,2	72,40,72	103	99
484	6,3,5	120,80,151	9,0,13	65,25,79	107	99
485	1,0,1	44,35,37	0,1,1	45,26,39	103	99
486	26,13,24	0,0,0	60,27,52	0,0,3	142	99
487	0,0,0	204,229,435	1,1,0	701,238,564	164	99
490	16,19,41	0,0,0	35,19,53	1,0,3	158	99
491	24,22,20	0,1,0	32,20,31	0,0,1	198	99
492	6,8,15	1,1,2	24,11,16	3,0,0	198	99
494	1200,931,1549	8,7,10	1677,965,1795	3,6,6	101	99
495	0,0,0	67,55,85	1,0,0	123,44,114	101	99
496	0,0,2	101,79,137	1,1,0	185,106,112	102	99
498	9,5,12	491,551,769	28,5,20	1108,407,1046	155	99
499	576,667,855	1,3,3	1129,527,1160	0,1,0	113	99
500	845,673,977	0,0,0	1236,738,1464	0,0,1	116	99
501	1,0,1	26,24,27	0,0,2	17,3,23	134	99
504	0,0,0	84,46,118	0,1,0	125,70,142	104	99
505	48,37,86	67,68,89	67,46,94	115,67,117	101	99
506	28,29,70	0,2,4	56,20,59	1,0,0	114	99
508	54,57,85	0,0,0	85,37,80	0,0,2	179	99
510	2,3,2	0,1,0	0,0,6	3,0,4	102	99
511	0,0,0	0,2,0	1,1,1	0,0,1	103	99
512	1,2,1	2,0,0	1,2,0	0,0,0	169	99
513	2,2,4	9,3,11	2,1,10	6,1,5	102	99
514	0,0,0	0,0,2	0,1,0	0,0,0	102	99
516	0,0,0	177,119,165	2,0,0	180,145,254	102	99
519	1,1,3	0,1,0	8,6,8	0,0,3	108	99
520	14,18,31	0,1,0	48,27,38	0,0,0	125	99
521	28,27,32	15,20,35	54,30,57	38,26,35	125	99
522	5,4,9	5037,4529,7190	15,5,20	6859,3171,6978	103	99
523	1,3,3	8437,7001,10458	1,0,2	8831,5915,10571	102	99
524	0,2,3	3,3,3	1,0,2	2,6,2	102	99
526	27,18,49	2,0,1	37,15,32	0,1,0	108	99
529	12,16,18	2,0,0	20,16,29	3,1,4	142	99
530	33,32,56	0,0,0	47,25,50	0,0,1	122	99
531	1,0,2	1268,1059,1611	0,0,1	1450,996,1662	102	99
532	0,2,0	95,83,134	0,0,0	100,84,140	101	99
533	23,21,33	3,7,8	7,6,6	7,2,19	106	99
536	1,3,0	68,54,79	5,0,2	67,36,81	118	99
537	1,0,0	2,4,10	2,0,4	9,5,7	198	99
538	1,0,0	1,0,0	2,1,4	0,0,0	198	99
539	2,4,10	1,0,0	9,6,7	0,0,0	168	99
541	91,69,128	12,9,7	88,59,92	11,5,9	119	99
545	37,27,36	0,2,1	46,17,41	1,0,0	114	99
547	2,6,8	11,18,30	1,0,7	29,16,19	101	99
549	31,26,46	12,9,15	46,12,44	6,10,16	110	99
551	4,1,0	32,20,54	0,6,6	66,42,83	120	99
552	1,0,2	2,3,4	1,1,0	1,0,0	104	99
553	750,728,1072	1,0,8	1269,565,1448	1,0,1	101	99
554	1,2,0	0,0,0	3,0,2	0,0,2	104	99
556	5,4,8	70,43,95	29,9,15	113,41,89	198	99
558	57,32,73	5,9,4	51,40,80	17,5,19	104	99
560	14,11,19	2,0,2	20,20,30	0,0,0	131	99
561	12,11,20	2,0,2	13,6,17	0,0,0	196	99
562	12,11,20	14,11,19	13,6,17	20,20,30	163	99
563	22,18,36	1,2,0	32,19,31	1,1,0	128	99
564	11,8,11	972,787,1037	8,16,19	1404,908,1808	198	99
566	31,33,56	6,5,11	73,41,81	14,12,18	110	99
567	1,0,0	158,137,217	0,0,0	131,102,150	198	99
568	1,0,0	311,253,454	1,1,1	460,241,408	122	99
569	0,0,1	226,206,346	0,1,0	379,228,384	102	99
571	1,0,0	267,211,296	2,3,3	279,184,259	108	99
572	0,0,3	0,0,0	2,0,2	0,0,1	103	99
577	1,2,3	8,1,2	8,2,5	0,3,4	102	99
579	5,2,4	36,42,66	7,3,4	69,29,58	103	99
581	4,1,3	35,27,54	5,0,4	46,43,47	102	99
583	0,1,0	4827,4690,6986	0,0,0	7429,3491,9508	102	99
584	0,0,1	0,0,2	3,0,0	0,0,0	102	99
585	3,1,0	54,58,68	10,7,7	90,55,87	113	99
589	0,0,0	53,45,74	0,0,1	79,51,67	138	99
590	400,323,521	8,5,20	446,280,449	18,10,23	101	99
591	50,34,74	290,202,382	143,71,174	335,144,368	101	99
593	19,15,31	0,1,0	41,25,41	0,0,1	101	99
594	59,43,63	0,0,0	95,57,127	1,0,3	104	99
597	1,6,1	8,10,18	13,9,4	10,7,11	102	99
598	22,11,13	20,25,34	16,17,21	31,21,41	130	99
599	513,559,612	0,0,0	435,222,495	2,1,0	107	99
600	151,161,241	1,1,2	238,154,342	2,2,1	101	99
601	1529,637,1981	0,0,0	2204,844,1516	82,0,57	116	99
602	623,322,777	21,14,28	1136,405,751	31,20,28	116	99
603	623,320,777	0,0,0	1123,404,744	1,1,0	116	99
604	680,330,821	0,0,0	1142,441,752	1,1,0	137	99
605	57,12,44	0,2,0	19,38,8	0,1,0	119	99
606	663,376,859	1,0,0	1299,495,875	0,0,0	137	99
609	15,11,23	324,270,465	55,20,51	419,246,438	119	99
612	69,35,90	72,53,100	61,31,69	102,70,114	101	99
616	134,108,171	14,8,11	147,93,171	16,7,23	104	99
617	0,0,0	24,17,27	1,0,1	41,17,48	103	99
619	116,83,135	1989,2149,3096	126,75,129	4995,1621,4881	105	99
